type,period,first_step,last_step,steps_covered,transactions,fraud_count,fraud_prevalence,precision,recall,F1,AP,threshold,alerts,alert_rate,TP,FP,FN,TN,median_amount,median_opening_balance,median_score,p99_score,transfer_share
TRANSFER,19,457,480,24,1951,118,0.06048180420297283,1.0,1.0,1.0,0.9999999999999998,0.9117386299003929,118,0.06048180420297283,118,0,0,1833,457263.4,0.0,0.0136951906779151,0.9999999999998728,1.0
TRANSFER,20,481,504,24,2541,136,0.05352223534041716,1.0,1.0,1.0,1.0,0.9117386299003929,136,0.05352223534041716,136,0,0,2405,496482.01,0.0,0.01338979474095803,0.9999999999998267,1.0
TRANSFER,21,505,528,24,4797,128,0.026683343756514488,1.0,1.0,1.0,1.0,0.9117386299003929,128,0.026683343756514488,128,0,0,4669,470140.78,0.0,0.013350376687716202,0.9999999999993633,1.0
TRANSFER,22,529,552,24,4658,108,0.023185916702447403,1.0,1.0,1.0,1.0,0.9117386299003929,108,0.023185916702447403,108,0,0,4550,439529.96499999997,0.0,0.013358562588413829,0.9999999999991683,1.0
TRANSFER,23,553,576,24,3098,140,0.045190445448676564,1.0,1.0,1.0,1.0,0.9117386299003929,140,0.045190445448676564,140,0,0,2958,386772.595,0.0,0.01374067354385795,0.9999999999998287,1.0
TRANSFER,24,577,600,24,5349,120,0.022434099831744252,1.0,0.9916666666666667,0.99581589958159,0.9999999999999999,0.9117386299003929,119,0.02224714899981305,119,0,1,5229,378862.31,0.0,0.013964157536517797,0.9999999999993713,1.0
TRANSFER,25,601,624,24,1244,136,0.10932475884244373,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,136,0.10932475884244373,136,0,0,1108,326082.65,138.0,0.014192539778560703,0.9999999999999348,1.0
TRANSFER,26,625,648,24,888,140,0.15765765765765766,1.0,0.9857142857142858,0.9928057553956835,1.0,0.9117386299003929,138,0.1554054054054054,138,0,2,748,398657.58999999997,752.5,0.014314360751208746,0.9999999999999628,1.0
TRANSFER,27,649,672,24,1495,124,0.08294314381270904,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,124,0.08294314381270904,124,0,0,1371,416508.58,96.0,0.013715469441954984,0.9999999999999247,1.0
TRANSFER,28,673,696,24,5348,130,0.024308152580403888,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,130,0.024308152580403888,130,0,0,5218,395072.15,0.0,0.014056614965780753,0.9999999999994743,1.0
TRANSFER,29,697,720,24,1014,134,0.13214990138067062,1.0,0.9925373134328358,0.9962546816479401,1.0,0.9117386299003929,133,0.131163708086785,133,0,1,880,358952.56999999995,21014.5,0.0013616572699467198,0.9999999999999647,1.0
TRANSFER,30,721,743,23,136,136,1.0,1.0,1.0,1.0,,0.9117386299003929,136,1.0,136,0,0,0,361671.615,361671.615,0.9999999999977705,0.9999999999999826,1.0
