step,transactions,fraud_count,legitimate_count,fraud_prevalence
146,100,10,90,0.1
147,40,6,34,0.15
148,12,12,0,1.0
149,22,22,0,1.0
150,14,14,0,1.0
151,18,18,0,1.0
152,6,6,0,1.0
153,8363,10,8353,0.0011957431543704413
154,12984,10,12974,0.0007701786814540973
155,13522,8,13514,0.0005916284573287975
156,12194,18,12176,0.0014761358044940135
157,13659,16,13643,0.0011713888278790541
158,12986,8,12978,0.0006160480517480363
159,12523,10,12513,0.0007985307035055498
160,12867,26,12841,0.0020206730395585606
161,15400,14,15386,0.0009090909090909091
162,19199,10,19189,0.0005208604614823689
163,21493,8,21485,0.0003722142092774392
164,17178,14,17164,0.0008149959250203749
165,6226,4,6222,0.00064246707356248
166,3838,6,3832,0.001563314226159458
167,2205,6,2199,0.0027210884353741495
168,1004,2,1002,0.00199203187250996
169,315,10,305,0.031746031746031744
170,98,16,82,0.16326530612244897
171,14,14,0,1.0
172,10,10,0,1.0
173,14,14,0,1.0
174,10,10,0,1.0
175,8,8,0,1.0
176,10,10,0,1.0
177,7143,18,7125,0.00251994960100798
178,12127,14,12113,0.0011544487507215305
179,13735,8,13727,0.0005824535857298871
180,14394,10,14384,0.0006947339169098236
181,14542,11,14531,0.0007564296520423601
182,14544,8,14536,0.00055005500550055
183,14122,16,14106,0.001132983996601048
184,14495,8,14487,0.0005519144532597448
185,16944,16,16928,0.0009442870632672333
186,20653,17,20636,0.0008231249697380526
187,22546,10,22536,0.00044353765634702386
188,16871,10,16861,0.0005927330922885425
189,6884,10,6874,0.001452643811737362
190,4081,8,4073,0.0019603038470963
191,2369,12,2357,0.005065428450823132
192,1113,10,1103,0.008984725965858042
193,282,8,274,0.028368794326241134
194,116,12,104,0.10344827586206896
195,50,10,40,0.2
196,8,8,0,1.0
197,4,4,0,1.0
198,12,12,0,1.0
199,10,10,0,1.0
200,8,8,0,1.0
201,7309,8,7301,0.0010945409768778219
202,14041,2,14039,0.00014243999715120005
203,16269,8,16261,0.0004917327432540415
204,16754,6,16748,0.00035812343320997973
205,15413,16,15397,0.0010380847336663856
206,13507,12,13495,0.0008884282224031983
207,12739,6,12733,0.000470994583562289
208,12940,21,12919,0.0016228748068006183
209,13848,6,13842,0.0004332755632582322
210,15119,8,15111,0.0005291355248362987
211,17031,14,17017,0.0008220304151253596
212,14673,40,14633,0.002726095549649015
213,5161,8,5153,0.0015500871924045726
214,3164,12,3152,0.0037926675094816687
215,2101,10,2091,0.00475963826749167
216,1090,6,1084,0.005504587155963303
217,911,16,895,0.01756311745334797
218,12,12,0,1.0
219,10,10,0,1.0
220,6,6,0,1.0
221,10,10,0,1.0
222,8,8,0,1.0
223,8,8,0,1.0
224,10,10,0,1.0
225,7970,12,7958,0.00150564617314931
226,12020,12,12008,0.0009983361064891847
227,13890,14,13876,0.001007919366450684
228,14049,16,14033,0.0011388710940280447
229,12985,8,12977,0.0006160954948016943
230,11279,17,11262,0.001507225817891657
231,11924,17,11907,0.0014256960751425696
232,12660,10,12650,0.0007898894154818325
233,6502,12,6490,0.001845585973546601
234,16265,14,16251,0.0008607439286812173
235,22200,10,22190,0.00045045045045045046
236,16370,10,16360,0.0006108735491753207
237,5772,12,5760,0.002079002079002079
238,3468,14,3454,0.004036908881199538
239,2366,10,2356,0.00422654268808115
240,1135,14,1121,0.012334801762114538
241,457,18,439,0.03938730853391685
242,112,8,104,0.07142857142857142
243,8,8,0,1.0
244,12,12,0,1.0
245,4,4,0,1.0
246,4,4,0,1.0
247,8,8,0,1.0
248,10,10,0,1.0
249,9610,28,9582,0.0029136316337148803
250,14217,22,14195,0.0015474432018006612
251,15572,10,15562,0.0006421782686873876
252,15973,2,15971,0.00012521129405872408
253,15165,10,15155,0.0006594131223211342
254,13349,10,13339,0.0007491197842535021
255,12768,8,12760,0.0006265664160401002
256,12839,8,12831,0.0006231014876548018
257,12292,6,12286,0.00048812235600390497
258,12791,8,12783,0.0006254397623328903
259,20185,10,20175,0.0004954173891503591
260,14572,12,14560,0.0008234971177600879
261,5432,20,5412,0.003681885125184094
262,3597,22,3575,0.0061162079510703364
263,2126,6,2120,0.0028222013170272815
264,1006,8,998,0.007952286282306162
265,310,12,298,0.03870967741935484
266,116,10,106,0.08620689655172414
267,46,8,38,0.17391304347826086
268,6,6,0,1.0
269,14,14,0,1.0
270,16,16,0,1.0
271,12,12,0,1.0
272,12,12,0,1.0
273,3233,20,3213,0.006186204763377668
274,8194,20,8174,0.00244081034903588
275,11027,10,11017,0.0009068649678062936
276,11899,10,11889,0.0008404067568703252
277,11446,14,11432,0.0012231347195526823
278,11212,4,11208,0.00035676061362825543
279,11352,22,11330,0.001937984496124031
280,11204,4,11200,0.0003570153516601214
281,12382,18,12364,0.0014537231465029882
282,14244,18,14226,0.0012636899747262005
283,16796,8,16788,0.0004763038818766373
284,14326,16,14310,0.0011168504816417703
285,5122,16,5106,0.0031237797735259665
286,3473,8,3465,0.002303484019579614
287,1879,10,1869,0.005321979776476849
288,1019,10,1009,0.009813542688910697
289,270,12,258,0.044444444444444446
290,69,8,61,0.11594202898550725
291,31,10,21,0.3225806451612903
292,8,8,0,1.0
293,4,4,0,1.0
294,18,18,0,1.0
295,10,10,0,1.0
296,22,22,0,1.0
297,8758,8,8750,0.0009134505594884677
298,13403,4,13399,0.0002984406476162053
299,14014,10,14004,0.0007135721421435707
300,14171,8,14163,0.0005645332016089196
301,14160,4,14156,0.0002824858757062147
302,13231,8,13223,0.0006046406167334291
303,10964,14,10950,0.0012769062385990515
304,12595,2,12593,0.00015879317189360857
305,16510,14,16496,0.0008479709267110841
306,20447,12,20435,0.0005868831613439625
307,21485,16,21469,0.0007447056085641145
308,15997,6,15991,0.00037507032568606614
309,5485,8,5477,0.0014585232452142207
310,3603,10,3593,0.002775464890369137
311,2563,16,2547,0.006242684354272337
312,839,10,829,0.011918951132300357
313,253,10,243,0.039525691699604744
314,95,6,89,0.06315789473684211
315,12,12,0,1.0
316,12,12,0,1.0
317,20,20,0,1.0
318,6,6,0,1.0
319,8,8,0,1.0
320,14,14,0,1.0
321,7652,8,7644,0.0010454783063251437
322,11989,16,11973,0.0013345566769538744
323,13411,10,13401,0.000745656550592797
324,13214,10,13204,0.0007567731194187983
325,12706,10,12696,0.0007870297497245396
326,11983,14,11969,0.0011683217892013687
327,11695,10,11685,0.0008550662676357417
328,12235,18,12217,0.0014711892112791174
329,14743,6,14737,0.0004069728006511565
330,16816,10,16806,0.0005946717411988582
331,18378,6,18372,0.000326477309826967
332,15153,6,15147,0.0003959611958028113
333,5050,8,5042,0.0015841584158415843
334,3584,4,3580,0.0011160714285714285
335,2771,4,2767,0.001443522194153735
336,724,18,706,0.024861878453038673
337,98,10,88,0.10204081632653061
338,73,4,69,0.0547945205479452
339,10,10,0,1.0
340,10,10,0,1.0
341,10,10,0,1.0
342,14,14,0,1.0
343,12,12,0,1.0
344,6,6,0,1.0
345,6088,12,6076,0.0019710906701708277
346,11480,6,11474,0.0005226480836236934
347,13393,0,13393,0.0
348,12845,8,12837,0.0006228104320747372
349,13337,18,13319,0.001349628852065682
350,12630,14,12616,0.0011084718923198734
351,12124,18,12106,0.0014846585285384361
352,12121,16,12105,0.001320023100404257
353,13755,8,13747,0.0005816066884769174
354,18952,12,18940,0.0006331785563528915
355,20564,8,20556,0.00038902937171756465
356,14261,6,14255,0.0004207278591964098
357,5396,18,5378,0.003335804299481097
358,3713,10,3703,0.00269323996768112
359,2093,12,2081,0.005733397037744864
360,966,8,958,0.008281573498964804
361,327,14,313,0.04281345565749235
362,113,20,93,0.17699115044247787
363,14,14,0,1.0
364,6,6,0,1.0
365,14,14,0,1.0
366,10,10,0,1.0
367,14,14,0,1.0
368,6,6,0,1.0
369,5916,6,5910,0.0010141987829614604
370,10955,18,10937,0.0016430853491556368
371,12684,6,12678,0.0004730368968779565
372,13263,8,13255,0.0006031817839101259
373,12883,12,12871,0.0009314600636497711
374,12449,14,12435,0.0011245883203470158
375,11618,10,11608,0.000860733344809778
376,8942,4,8938,0.00044732721986132855
377,8220,10,8210,0.0012165450121654502
378,17554,4,17550,0.0002278682921271505
379,19702,16,19686,0.0008121002943863567
380,16177,14,16163,0.0008654262224145391
381,5462,4,5458,0.0007323324789454412
382,3831,8,3823,0.0020882276168102325
383,2082,14,2068,0.0067243035542747355
384,902,6,896,0.0066518847006651885
385,272,8,264,0.029411764705882353
386,130,16,114,0.12307692307692308
387,28,28,0,1.0
388,18,18,0,1.0
389,10,10,0,1.0
390,12,12,0,1.0
391,12,12,0,1.0
392,10,10,0,1.0
393,8385,4,8381,0.0004770423375074538
394,12796,10,12786,0.0007814942169427947
395,9852,8,9844,0.0008120178643930166
396,15636,8,15628,0.0005116398055768739
397,13944,10,13934,0.000717154331612163
398,12229,26,12203,0.0021260937116689836
399,13767,12,13755,0.0008716495968620615
400,14393,16,14377,0.0011116514972556103
401,15720,16,15704,0.0010178117048346056
402,19150,12,19138,0.0006266318537859008
403,20981,16,20965,0.0007625947285639388
404,16149,18,16131,0.001114620100315809
405,6110,10,6100,0.0016366612111292963
406,3883,24,3859,0.006180788050476436
407,2221,6,2215,0.0027014858171994596
408,2072,10,2062,0.004826254826254826
409,110,20,90,0.18181818181818182
410,20,20,0,1.0
411,16,16,0,1.0
412,8,8,0,1.0
413,81,14,67,0.1728395061728395
414,16,16,0,1.0
415,16,16,0,1.0
416,770,8,762,0.01038961038961039
417,6,6,0,1.0
418,6,6,0,1.0
419,420,10,410,0.023809523809523808
420,1118,12,1106,0.01073345259391771
421,14,14,0,1.0
422,434,10,424,0.02304147465437788
423,265,6,259,0.022641509433962263
424,14,14,0,1.0
425,28,28,0,1.0
426,2347,2,2345,0.0008521516829995739
427,14,14,0,1.0
428,1104,6,1098,0.005434782608695652
429,829,4,825,0.0048250904704463205
430,8,8,0,1.0
431,420,6,414,0.014285714285714285
432,4,4,0,1.0
433,6,6,0,1.0
434,8,8,0,1.0
435,4,4,0,1.0
436,55,16,39,0.2909090909090909
437,16,16,0,1.0
438,12,12,0,1.0
439,121,12,109,0.09917355371900827
440,18,18,0,1.0
441,10,10,0,1.0
442,388,12,376,0.030927835051546393
443,10,10,0,1.0
444,20,20,0,1.0
445,53,6,47,0.11320754716981132
446,12,12,0,1.0
447,10,10,0,1.0
448,1058,6,1052,0.005671077504725898
449,448,6,442,0.013392857142857142
450,16,16,0,1.0
451,1638,4,1634,0.002442002442002442
452,92,10,82,0.10869565217391304
453,31,8,23,0.25806451612903225
454,23,6,17,0.2608695652173913
455,156,10,146,0.0641025641025641
456,18,18,0,1.0
457,10,10,0,1.0
458,97,6,91,0.061855670103092786
459,8,8,0,1.0
460,42,16,26,0.38095238095238093
461,58,16,42,0.27586206896551724
462,16,16,0,1.0
463,10,10,0,1.0
464,16,16,0,1.0
465,12,12,0,1.0
466,349,6,343,0.017191977077363897
467,12,12,0,1.0
468,12,12,0,1.0
469,2766,8,2758,0.0028922631959508315
470,12,12,0,1.0
471,1097,2,1095,0.0018231540565177757
472,65,8,57,0.12307692307692308
473,10,10,0,1.0
474,1161,8,1153,0.0068906115417743325
475,14,14,0,1.0
476,1667,8,1659,0.004799040191961607
477,10,10,0,1.0
478,537,6,531,0.0111731843575419
479,155,4,151,0.025806451612903226
480,6,6,0,1.0
481,14,14,0,1.0
482,16,16,0,1.0
483,82,8,74,0.0975609756097561
484,6,6,0,1.0
485,12,12,0,1.0
486,8,8,0,1.0
487,200,14,186,0.07
488,8,8,0,1.0
489,14,14,0,1.0
490,1658,10,1648,0.006031363088057901
491,12,12,0,1.0
492,2214,6,2208,0.0027100271002710027
493,793,8,785,0.01008827238335435
494,8,8,0,1.0
495,1490,16,1474,0.010738255033557046
496,347,6,341,0.01729106628242075
497,20,20,0,1.0
498,12,12,0,1.0
499,10,10,0,1.0
500,2600,4,2596,0.0015384615384615385
501,28,28,0,1.0
502,108,12,96,0.1111111111111111
503,438,10,428,0.0228310502283105
504,10,10,0,1.0
505,184,8,176,0.043478260869565216
506,8,8,0,1.0
507,14,14,0,1.0
508,6,6,0,1.0
509,86,14,72,0.16279069767441862
510,10,10,0,1.0
511,6,6,0,1.0
512,12,12,0,1.0
513,10,10,0,1.0
514,3610,14,3596,0.003878116343490305
515,6,6,0,1.0
516,14,14,0,1.0
517,541,6,535,0.011090573012939002
518,1533,8,1525,0.005218525766470972
519,12,12,0,1.0
520,1314,12,1302,0.0091324200913242
521,14,14,0,1.0
522,8669,14,8655,0.001614949821201984
523,30,30,0,1.0
524,1024,4,1020,0.00390625
525,2764,2,2762,0.000723589001447178
526,772,12,760,0.015544041450777202
527,706,6,700,0.0084985835694051
528,184,14,170,0.07608695652173914
529,28,6,22,0.21428571428571427
530,123,8,115,0.06504065040650407
531,68,14,54,0.20588235294117646
532,46,6,40,0.13043478260869565
533,12,12,0,1.0
534,98,12,86,0.12244897959183673
535,6,6,0,1.0
536,12,12,0,1.0
537,18,18,0,1.0
538,1363,10,1353,0.007336757153338224
539,4,4,0,1.0
540,2309,6,2303,0.00259852750108272
541,12,12,0,1.0
542,2015,10,2005,0.004962779156327543
543,6,6,0,1.0
544,4018,6,4012,0.0014932802389248383
545,1602,0,1602,0.0
546,3512,10,3502,0.0028473804100227792
547,1034,8,1026,0.007736943907156673
548,2340,2,2338,0.0008547008547008547
549,160,12,148,0.075
550,1510,8,1502,0.005298013245033113
551,222,18,204,0.08108108108108109
552,272,10,262,0.03676470588235294
553,8,8,0,1.0
554,18,18,0,1.0
555,31,6,25,0.1935483870967742
556,6,6,0,1.0
557,20,20,0,1.0
558,14,14,0,1.0
559,10,10,0,1.0
560,10,10,0,1.0
561,16,16,0,1.0
562,10,10,0,1.0
563,1435,18,1417,0.012543554006968641
564,1556,16,1540,0.010282776349614395
565,2516,12,2504,0.0047694753577106515
566,553,6,547,0.0108499095840868
567,1971,10,1961,0.0050735667174023336
568,14,14,0,1.0
569,481,14,467,0.029106029106029108
570,889,10,879,0.01124859392575928
571,1859,10,1849,0.0053792361484669175
572,18,18,0,1.0
573,1312,8,1304,0.006097560975609756
574,855,4,851,0.004678362573099415
575,8,8,0,1.0
576,164,14,150,0.08536585365853659
577,90,12,78,0.13333333333333333
578,57,20,37,0.3508771929824561
579,12,12,0,1.0
580,34,10,24,0.29411764705882354
581,10,10,0,1.0
582,125,16,109,0.128
583,16,16,0,1.0
584,103,8,95,0.07766990291262135
585,767,6,761,0.007822685788787484
586,579,12,567,0.02072538860103627
587,1117,6,1111,0.005371530886302597
588,2078,12,2066,0.005774783445620789
589,2877,2,2875,0.0006951685783802572
590,3056,8,3048,0.002617801047120419
591,49,12,37,0.24489795918367346
592,2554,10,2544,0.003915426781519186
593,4,4,0,1.0
594,3139,10,3129,0.0031857279388340237
595,2544,12,2532,0.0047169811320754715
596,3625,8,3617,0.002206896551724138
597,843,6,837,0.0071174377224199285
598,240,4,236,0.016666666666666666
599,466,6,460,0.012875536480686695
600,18,18,0,1.0
601,179,10,169,0.055865921787709494
602,8,8,0,1.0
603,12,12,0,1.0
604,8,8,0,1.0
605,16,16,0,1.0
606,14,14,0,1.0
607,8,8,0,1.0
608,348,16,332,0.04597701149425287
609,8,8,0,1.0
610,416,12,404,0.028846153846153848
611,14,14,0,1.0
612,1109,12,1097,0.010820559062218215
613,44,20,24,0.45454545454545453
614,447,16,431,0.035794183445190156
615,8,8,0,1.0
616,6,6,0,1.0
617,1181,16,1165,0.013547840812870448
618,8,8,0,1.0
619,1233,14,1219,0.0113544201135442
620,8,8,0,1.0
621,363,18,345,0.049586776859504134
622,4,4,0,1.0
623,6,6,0,1.0
624,10,10,0,1.0
625,24,24,0,1.0
626,6,6,0,1.0
627,4,4,0,1.0
628,6,6,0,1.0
629,20,20,0,1.0
630,41,4,37,0.0975609756097561
631,12,12,0,1.0
632,8,8,0,1.0
633,8,8,0,1.0
634,10,10,0,1.0
635,16,16,0,1.0
636,12,12,0,1.0
637,1509,12,1497,0.007952286282306162
638,14,14,0,1.0
639,14,14,0,1.0
640,599,14,585,0.02337228714524207
641,10,10,0,1.0
642,411,8,403,0.019464720194647202
643,14,14,0,1.0
644,930,10,920,0.010752688172043012
645,10,10,0,1.0
646,20,20,0,1.0
647,10,10,0,1.0
648,14,14,0,1.0
649,69,10,59,0.14492753623188406
650,16,16,0,1.0
651,10,10,0,1.0
652,14,14,0,1.0
653,8,8,0,1.0
654,8,8,0,1.0
655,4,4,0,1.0
656,659,16,643,0.024279210925644917
657,10,10,0,1.0
658,14,14,0,1.0
659,1035,10,1025,0.00966183574879227
660,12,12,0,1.0
661,2139,8,2131,0.0037400654511453952
662,2,2,0,1.0
663,10,10,0,1.0
664,426,20,406,0.046948356807511735
665,10,10,0,1.0
666,6,6,0,1.0
667,567,6,561,0.010582010582010581
668,8,8,0,1.0
669,95,8,87,0.08421052631578947
670,526,12,514,0.022813688212927757
671,18,18,0,1.0
672,58,8,50,0.13793103448275862
673,73,12,61,0.1643835616438356
674,14,14,0,1.0
675,25,10,15,0.4
676,8,8,0,1.0
677,8,8,0,1.0
678,6,6,0,1.0
679,30,6,24,0.2
680,22,22,0,1.0
681,2025,4,2021,0.0019753086419753087
682,6,6,0,1.0
683,1036,8,1028,0.007722007722007722
684,1991,8,1983,0.004018081366147665
685,14,14,0,1.0
686,2082,16,2066,0.007684918347742555
687,3566,8,3558,0.002243409983174425
688,3510,8,3502,0.002279202279202279
689,14,14,0,1.0
690,2274,12,2262,0.005277044854881266
691,2082,12,2070,0.005763688760806916
692,2914,20,2894,0.0068634179821551134
693,4,4,0,1.0
694,860,24,836,0.027906976744186046
695,743,10,733,0.013458950201884253
696,6,6,0,1.0
697,12,12,0,1.0
698,56,16,40,0.2857142857142857
699,42,16,26,0.38095238095238093
700,6,6,0,1.0
701,18,18,0,1.0
702,14,14,0,1.0
703,8,8,0,1.0
704,16,16,0,1.0
705,934,10,924,0.010706638115631691
706,4,4,0,1.0
707,148,10,138,0.06756756756756757
708,4,4,0,1.0
709,1056,8,1048,0.007575757575757576
710,909,14,895,0.015401540154015401
711,8,8,0,1.0
712,18,12,6,0.6666666666666666
713,8,8,0,1.0
714,341,14,327,0.04105571847507331
715,968,10,958,0.010330578512396695
716,75,8,67,0.10666666666666667
717,211,12,199,0.05687203791469194
718,181,16,165,0.08839779005524862
719,14,14,0,1.0
720,10,10,0,1.0
721,4,4,0,1.0
722,10,10,0,1.0
723,14,14,0,1.0
724,14,14,0,1.0
725,4,4,0,1.0
726,22,22,0,1.0
727,12,12,0,1.0
728,10,10,0,1.0
729,4,4,0,1.0
730,28,28,0,1.0
731,16,16,0,1.0
732,10,10,0,1.0
733,10,10,0,1.0
734,8,8,0,1.0
735,12,12,0,1.0
736,14,14,0,1.0
737,10,10,0,1.0
738,10,10,0,1.0
739,10,10,0,1.0
740,6,6,0,1.0
741,22,22,0,1.0
742,14,14,0,1.0
743,8,8,0,1.0
