step,transactions,fraud_count
188,39079,10
189,17674,10
190,12669,8
191,9111,12
192,4314,10
193,1511,8
194,671,12
195,141,10
196,8,8
197,4,4
198,12,12
199,10,10
200,8,8
201,17963,8
202,31949,2
203,36176,8
204,36856,6
205,33549,16
206,29777,12
207,28288,6
208,29058,21
209,30372,6
210,33004,8
211,36889,14
212,34047,40
213,14775,8
214,10746,12
215,7975,10
216,4130,6
217,3347,16
218,12,12
219,10,10
220,6,6
221,10,10
222,8,8
223,8,8
224,10,10
225,18366,12
226,27522,12
227,30871,14
228,30965,16
229,28304,8
230,26034,17
231,26968,17
232,27482,10
233,14703,12
234,34053,14
235,47491,10
236,37109,10
237,16003,12
238,10920,14
239,8554,10
240,4189,14
241,1865,18
242,637,8
243,8,8
244,12,12
245,4,4
246,4,4
247,8,8
248,10,10
249,23209,28
250,31854,22
251,35269,10
252,35590,2
253,33311,10
254,29553,10
255,28840,8
256,28570,8
257,26843,6
258,27662,8
259,43328,10
260,33674,12
261,14420,20
262,11125,22
263,8021,6
264,4042,8
265,1581,12
266,767,10
267,77,8
268,6,6
269,14,14
270,16,16
271,12,12
272,12,12
273,7871,20
274,19202,20
275,24797,10
276,26383,10
277,25925,14
278,25737,4
279,25925,22
280,25956,4
281,27778,18
282,31118,18
283,36644,8
284,33449,16
285,14266,16
286,11333,8
287,6889,10
288,4018,10
289,1437,12
290,487,8
291,44,10
292,8,8
293,4,4
294,18,18
295,10,10
296,22,22
297,20609,8
298,29579,4
299,31940,10
300,31176,8
301,30881,4
302,29127,8
303,24714,14
304,26697,2
305,34595,14
306,43615,12
307,46968,16
308,36983,6
309,15147,8
310,11393,10
311,9863,16
312,3266,10
313,1305,10
314,512,6
315,12,12
316,12,12
317,20,20
318,6,6
319,8,8
320,14,14
321,17768,8
322,27147,16
323,29884,10
324,29430,10
325,27901,10
326,26655,14
327,25183,10
328,26877,18
329,32161,6
330,36682,10
331,40186,6
332,36156,6
333,14553,8
334,12016,4
335,10456,4
336,2932,18
337,320,10
338,529,4
339,10,10
340,10,10
341,10,10
342,14,14
343,12,12
344,6,6
345,14670,12
346,26073,6
347,30222,0
348,29467,8
349,29552,18
350,28245,14
351,26927,18
352,27139,16
353,30420,8
354,40696,12
355,44787,8
356,33528,6
357,15096,18
358,12050,10
359,7991,12
360,3508,8
361,1441,14
362,504,20
363,14,14
364,6,6
365,14,14
366,10,10
367,14,14
368,6,6
369,14490,6
370,25429,18
371,28388,6
372,29515,8
373,28853,12
374,27727,14
375,26103,10
376,20122,4
377,18183,10
378,37127,4
379,41759,16
380,37693,14
381,14961,4
382,11829,8
383,7818,14
384,3588,6
385,1419,8
386,633,16
387,28,28
388,18,18
389,10,10
390,12,12
391,12,12
392,10,10
393,19269,4
394,28959,10
395,22797,8
396,34075,8
397,30348,10
398,26656,26
399,30223,12
400,30910,16
401,33468,16
402,40218,12
403,45155,16
404,36726,18
405,16604,10
406,12023,24
407,7937,6
408,8256,10
409,483,20
410,20,20
411,16,16
412,8,8
413,289,14
414,16,16
415,16,16
416,2182,8
417,6,6
418,6,6
419,1257,10
420,2620,12
421,14,14
422,1259,10
423,766,6
424,14,14
425,28,28
426,5139,2
427,14,14
428,2792,6
429,2357,4
430,8,8
431,1685,6
432,4,4
433,6,6
434,8,8
435,4,4
436,248,16
437,16,16
438,12,12
439,883,12
440,18,18
441,10,10
442,1222,12
443,10,10
444,20,20
445,64,6
446,12,12
447,10,10
448,2548,6
449,1194,6
450,16,16
451,3751,4
452,308,10
453,59,8
454,39,6
455,824,10
456,18,18
457,10,10
458,438,6
459,8,8
460,59,16
461,83,16
462,16,16
463,10,10
464,16,16
465,12,12
466,984,6
467,12,12
468,12,12
469,6016,8
470,12,12
471,2620,2
472,84,8
473,10,10
474,2728,8
475,14,14
476,3755,8
477,10,10
478,1908,6
479,904,4
480,6,6
481,14,14
482,16,16
483,317,8
484,6,6
485,12,12
486,8,8
487,912,14
488,8,8
489,14,14
490,3820,10
491,12,12
492,5119,6
493,1819,8
494,8,8
495,3256,16
496,873,6
497,20,20
498,12,12
499,10,10
500,6108,4
501,28,28
502,313,12
503,1878,10
504,10,10
505,936,8
506,8,8
507,14,14
508,6,6
509,288,14
510,10,10
511,6,6
512,12,12
513,10,10
514,8733,14
515,6,6
516,14,14
517,1391,6
518,3488,8
519,12,12
520,3037,12
521,14,14
522,18631,14
523,30,30
524,2664,4
525,8023,2
526,2470,12
527,2697,6
528,937,14
529,33,6
530,409,8
531,250,14
532,95,6
533,12,12
534,531,12
535,6,6
536,12,12
537,18,18
538,3120,10
539,4,4
540,5476,6
541,12,12
542,4475,10
543,6,6
544,9358,6
545,3562,0
546,7771,10
547,2261,8
548,5689,2
549,642,12
550,4804,8
551,949,18
552,1517,10
553,8,8
554,18,18
555,144,6
556,6,6
557,20,20
558,14,14
559,10,10
560,10,10
561,16,16
562,10,10
563,3284,18
564,3546,16
565,5425,12
566,1421,6
567,4356,10
568,14,14
569,1182,14
570,1965,10
571,4256,10
572,18,18
573,3487,8
574,2614,4
575,8,8
576,877,14
577,364,12
578,269,20
579,12,12
580,58,10
581,10,10
582,775,16
583,16,16
584,281,8
585,2047,6
586,1581,12
587,2740,6
588,4894,12
589,6245,2
590,6584,8
591,57,12
592,5373,10
593,4,4
594,6536,10
595,5434,12
596,9319,8
597,2486,6
598,934,4
599,1816,6
600,18,18
601,865,10
602,8,8
603,12,12
604,8,8
605,16,16
606,14,14
607,8,8
608,1082,16
609,8,8
610,1199,12
611,14,14
612,2677,12
613,45,20
614,1278,16
615,8,8
616,6,6
617,2680,16
618,8,8
619,2800,14
620,8,8
621,1121,18
622,4,4
623,6,6
624,10,10
625,24,24
626,6,6
627,4,4
628,6,6
629,20,20
630,150,4
631,12,12
632,8,8
633,8,8
634,10,10
635,16,16
636,12,12
637,3390,12
638,14,14
639,14,14
640,1398,14
641,10,10
642,1141,8
643,14,14
644,2267,10
645,10,10
646,20,20
647,10,10
648,14,14
649,263,10
650,16,16
651,10,10
652,14,14
653,8,8
654,8,8
655,4,4
656,1965,16
657,10,10
658,14,14
659,2500,10
660,12,12
661,4877,8
662,2,2
663,10,10
664,1125,20
665,10,10
666,6,6
667,1400,6
668,8,8
669,322,8
670,1906,12
671,18,18
672,153,8
673,445,12
674,14,14
675,30,10
676,8,8
677,8,8
678,6,6
679,72,6
680,22,22
681,4703,4
682,6,6
683,2192,8
684,4562,8
685,14,14
686,4689,16
687,8040,8
688,7885,8
689,14,14
690,4972,12
691,4809,12
692,6898,20
693,4,4
694,2664,24
695,2827,10
696,6,6
697,12,12
698,65,16
699,55,16
700,6,6
701,18,18
702,14,14
703,8,8
704,16,16
705,2362,10
706,4,4
707,309,10
708,4,4
709,2313,8
710,1788,14
711,8,8
712,23,12
713,8,8
714,681,14
715,1879,10
716,140,8
717,632,12
718,918,16
719,14,14
720,10,10
721,4,4
722,10,10
723,14,14
724,14,14
725,4,4
726,22,22
727,12,12
728,10,10
729,4,4
730,28,28
731,16,16
732,10,10
733,10,10
734,8,8
735,12,12
736,14,14
737,10,10
738,10,10
739,10,10
740,6,6
741,22,22
742,14,14
743,8,8
