step,transactions,alerts,alert_rate,transactions_outside_reference,alert_rate_outside_reference,zero_volume
517,541,6,0.011090573012939002,False,False,False
518,1533,8,0.005218525766470972,False,False,False
519,12,12,1.0,False,False,False
520,1314,12,0.0091324200913242,False,False,False
521,14,14,1.0,False,False,False
522,8669,14,0.001614949821201984,False,False,False
523,30,30,1.0,False,False,False
524,1024,4,0.00390625,False,False,False
525,2764,2,0.000723589001447178,False,False,False
526,772,12,0.015544041450777202,False,False,False
527,706,6,0.0084985835694051,False,False,False
528,184,14,0.07608695652173914,False,False,False
529,28,6,0.21428571428571427,False,False,False
530,123,8,0.06504065040650407,False,False,False
531,68,14,0.20588235294117646,False,False,False
532,46,6,0.13043478260869565,False,False,False
533,12,12,1.0,False,False,False
534,98,12,0.12244897959183673,False,False,False
535,6,6,1.0,False,False,False
536,12,12,1.0,False,False,False
537,18,18,1.0,False,False,False
538,1363,10,0.007336757153338224,False,False,False
539,4,4,1.0,True,False,False
540,2309,6,0.00259852750108272,False,False,False
541,12,12,1.0,False,False,False
542,2015,10,0.004962779156327543,False,False,False
543,6,6,1.0,False,False,False
544,4018,6,0.0014932802389248383,False,False,False
545,1602,0,0.0,False,True,False
546,3512,10,0.0028473804100227792,False,False,False
547,1034,8,0.007736943907156673,False,False,False
548,2340,2,0.0008547008547008547,False,False,False
549,160,12,0.075,False,False,False
550,1510,8,0.005298013245033113,False,False,False
551,222,18,0.08108108108108109,False,False,False
552,272,10,0.03676470588235294,False,False,False
553,8,8,1.0,False,False,False
554,18,17,0.9444444444444444,False,False,False
555,31,6,0.1935483870967742,False,False,False
556,6,6,1.0,False,False,False
557,20,20,1.0,False,False,False
558,14,14,1.0,False,False,False
559,10,10,1.0,False,False,False
560,10,10,1.0,False,False,False
561,16,16,1.0,False,False,False
562,10,10,1.0,False,False,False
563,1435,18,0.012543554006968641,False,False,False
564,1556,16,0.010282776349614395,False,False,False
565,2516,12,0.0047694753577106515,False,False,False
566,553,6,0.0108499095840868,False,False,False
567,1971,10,0.0050735667174023336,False,False,False
568,14,14,1.0,False,False,False
569,481,14,0.029106029106029108,False,False,False
570,889,10,0.01124859392575928,False,False,False
571,1859,10,0.0053792361484669175,False,False,False
572,18,18,1.0,False,False,False
573,1312,8,0.006097560975609756,False,False,False
574,855,4,0.004678362573099415,False,False,False
575,8,8,1.0,False,False,False
576,164,14,0.08536585365853659,False,False,False
577,90,12,0.13333333333333333,False,False,False
578,57,20,0.3508771929824561,False,False,False
579,12,12,1.0,False,False,False
580,34,10,0.29411764705882354,False,False,False
581,10,10,1.0,False,False,False
582,125,16,0.128,False,False,False
583,16,16,1.0,False,False,False
584,103,8,0.07766990291262135,False,False,False
585,767,6,0.007822685788787484,False,False,False
586,579,10,0.017271157167530225,False,False,False
587,1117,6,0.005371530886302597,False,False,False
588,2078,12,0.005774783445620789,False,False,False
589,2877,2,0.0006951685783802572,False,False,False
590,3056,8,0.002617801047120419,False,False,False
591,49,12,0.24489795918367346,False,False,False
592,2554,10,0.003915426781519186,False,False,False
593,4,4,1.0,True,False,False
594,3139,10,0.0031857279388340237,False,False,False
595,2544,12,0.0047169811320754715,False,False,False
596,3625,8,0.002206896551724138,False,False,False
597,843,6,0.0071174377224199285,False,False,False
598,240,4,0.016666666666666666,False,False,False
599,466,6,0.012875536480686695,False,False,False
600,18,18,1.0,False,False,False
601,179,10,0.055865921787709494,False,False,False
602,8,8,1.0,False,False,False
603,12,12,1.0,False,False,False
604,8,8,1.0,False,False,False
605,16,16,1.0,False,False,False
606,14,14,1.0,False,False,False
607,8,8,1.0,False,False,False
608,348,16,0.04597701149425287,False,False,False
609,8,8,1.0,False,False,False
610,416,12,0.028846153846153848,False,False,False
611,14,14,1.0,False,False,False
612,1109,12,0.010820559062218215,False,False,False
613,44,20,0.45454545454545453,False,False,False
614,447,16,0.035794183445190156,False,False,False
615,8,8,1.0,False,False,False
616,6,6,1.0,False,False,False
617,1181,15,0.012701100762066046,False,False,False
618,8,8,1.0,False,False,False
619,1233,14,0.0113544201135442,False,False,False
620,8,8,1.0,False,False,False
621,363,18,0.049586776859504134,False,False,False
622,4,4,1.0,True,False,False
623,6,6,1.0,False,False,False
624,10,10,1.0,False,False,False
625,24,24,1.0,False,False,False
626,6,6,1.0,False,False,False
627,4,4,1.0,True,False,False
628,6,6,1.0,False,False,False
629,20,20,1.0,False,False,False
630,41,4,0.0975609756097561,False,False,False
631,12,12,1.0,False,False,False
632,8,8,1.0,False,False,False
633,8,8,1.0,False,False,False
634,10,10,1.0,False,False,False
635,16,16,1.0,False,False,False
636,12,12,1.0,False,False,False
637,1509,12,0.007952286282306162,False,False,False
638,14,14,1.0,False,False,False
639,14,14,1.0,False,False,False
640,599,14,0.02337228714524207,False,False,False
641,10,10,1.0,False,False,False
642,411,8,0.019464720194647202,False,False,False
643,14,14,1.0,False,False,False
644,930,10,0.010752688172043012,False,False,False
645,10,10,1.0,False,False,False
646,20,16,0.8,False,False,False
647,10,10,1.0,False,False,False
648,14,14,1.0,False,False,False
649,69,10,0.14492753623188406,False,False,False
650,16,16,1.0,False,False,False
651,10,10,1.0,False,False,False
652,14,14,1.0,False,False,False
653,8,8,1.0,False,False,False
654,8,8,1.0,False,False,False
655,4,4,1.0,True,False,False
656,659,16,0.024279210925644917,False,False,False
657,10,10,1.0,False,False,False
658,14,14,1.0,False,False,False
659,1035,10,0.00966183574879227,False,False,False
660,12,12,1.0,False,False,False
661,2139,8,0.0037400654511453952,False,False,False
662,2,2,1.0,True,False,False
663,10,10,1.0,False,False,False
664,426,20,0.046948356807511735,False,False,False
665,10,10,1.0,False,False,False
666,6,6,1.0,False,False,False
667,567,6,0.010582010582010581,False,False,False
668,8,8,1.0,False,False,False
669,95,8,0.08421052631578947,False,False,False
670,526,12,0.022813688212927757,False,False,False
671,18,17,0.9444444444444444,False,False,False
672,58,8,0.13793103448275862,False,False,False
673,73,12,0.1643835616438356,False,False,False
674,14,14,1.0,False,False,False
675,25,10,0.4,False,False,False
676,8,8,1.0,False,False,False
677,8,8,1.0,False,False,False
678,6,6,1.0,False,False,False
679,30,6,0.2,False,False,False
680,22,22,1.0,False,False,False
681,2025,4,0.0019753086419753087,False,False,False
682,6,6,1.0,False,False,False
683,1036,8,0.007722007722007722,False,False,False
684,1991,8,0.004018081366147665,False,False,False
685,14,14,1.0,False,False,False
686,2082,16,0.007684918347742555,False,False,False
687,3566,8,0.002243409983174425,False,False,False
688,3510,8,0.002279202279202279,False,False,False
689,14,14,1.0,False,False,False
690,2274,12,0.005277044854881266,False,False,False
691,2082,12,0.005763688760806916,False,False,False
692,2914,20,0.0068634179821551134,False,False,False
693,4,4,1.0,True,False,False
694,860,24,0.027906976744186046,False,False,False
695,743,10,0.013458950201884253,False,False,False
696,6,6,1.0,False,False,False
697,12,12,1.0,False,False,False
698,56,16,0.2857142857142857,False,False,False
699,42,16,0.38095238095238093,False,False,False
700,6,6,1.0,False,False,False
701,18,18,1.0,False,False,False
702,14,13,0.9285714285714286,False,False,False
703,8,8,1.0,False,False,False
704,16,16,1.0,False,False,False
705,934,10,0.010706638115631691,False,False,False
706,4,4,1.0,True,False,False
707,148,10,0.06756756756756757,False,False,False
708,4,4,1.0,True,False,False
709,1056,8,0.007575757575757576,False,False,False
710,909,14,0.015401540154015401,False,False,False
711,8,8,1.0,False,False,False
712,18,12,0.6666666666666666,False,False,False
713,8,8,1.0,False,False,False
714,341,13,0.03812316715542522,False,False,False
715,968,10,0.010330578512396695,False,False,False
716,75,8,0.10666666666666667,False,False,False
717,211,12,0.05687203791469194,False,False,False
718,181,16,0.08839779005524862,False,False,False
719,14,14,1.0,False,False,False
720,10,10,1.0,False,False,False
721,4,4,1.0,True,False,False
722,10,10,1.0,False,False,False
723,14,14,1.0,False,False,False
724,14,14,1.0,False,False,False
725,4,4,1.0,True,False,False
726,22,22,1.0,False,False,False
727,12,12,1.0,False,False,False
728,10,10,1.0,False,False,False
729,4,4,1.0,True,False,False
730,28,26,0.9285714285714286,False,False,False
731,16,16,1.0,False,False,False
732,10,10,1.0,False,False,False
733,10,10,1.0,False,False,False
734,8,8,1.0,False,False,False
735,12,12,1.0,False,False,False
736,14,14,1.0,False,False,False
737,10,10,1.0,False,False,False
738,10,10,1.0,False,False,False
739,10,10,1.0,False,False,False
740,6,6,1.0,False,False,False
741,22,21,0.9545454545454546,False,False,False
742,14,14,1.0,False,False,False
743,8,8,1.0,False,False,False
